13.нояб..2023 20:36:01.852 [main] INFO  o.p.u.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.af.packet, use default value: 17
13.нояб..2023 20:36:01.853 [main] INFO  o.p.u.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.af.link, use default value: 18
13.нояб..2023 20:36:01.868 [main] INFO  o.pcap4j.core.Pcaps - 9 NIF(s) found.
13.нояб..2023 20:36:01.873 [main] INFO  o.p.u.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.dlt.raw, use default value: 12
13.нояб..2023 20:36:01.881 [Thread-0] INFO  o.p.core.PcapHandle - Starting loop.
13.нояб..2023 20:36:01.943 [Thread-0] WARN  o.p.p.f.PacketFactories - No PacketFactoryBinder is available. All packets will be captured as UnknownPacket.
13.нояб..2023 21:06:40.429 [main] INFO  o.p.c.NativeMappings - Pcap4J successfully loaded a native pcap library: Npcap version 1.71, based on libpcap version 1.10.2-PRE-GIT
13.нояб..2023 21:06:40.454 [main] WARN  o.pcap4j.core.Pcaps - Error calling PacketRequest: Couldn't get error message for error (3758096571)
13.нояб..2023 21:06:40.475 [main] INFO  o.p.u.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.af.inet, use default value: 2
13.нояб..2023 21:06:40.475 [main] INFO  o.p.u.PropertiesLoader - [org/pcap4j/pcap4j.properties] Could not get value by org.pcap4j.af.inet6, use default value: 23
